,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,'Patser_concate', 'Patser', 'Findterm', 'RNAMotif', 'Transterm', 'Blast', 'SRNA', 'FFN_Parse', 'Blast_candidate', 'Blast_QRNA', 'Blast_synteny', 'Blast_paralogues', 'SRNA_annotate', 'mProjectPP', 'mDiffFit', 'mConcatFit', 'mBgModel', 'mBackground', 'mImgTbl', 'mAdd', 'mShrink', 'mJPEG', 'TmpltBank', 'Inspiral', 'Thinca', 'TrigBank', 'fastqSplit_chr21', 'filterContams_chr21', 'sol2sanger_chr21', 'fastq2bfq_chr21', 'map_chr21', 'mapMerge_chr21', 'maqindex_chr21', 'pileup_chr21', 'ZipPSA', 'ZipSeis', 'ExtractSGT', 'SeismogramSynthesis', 'PeakValCalcOkaya'
0,0.248874,1.874677,981.741691,48.17602,45.162815,2472.907706,497.715889,2.027704,6.12737,1490.381155,33.348041,3.582831,2.548928,13.994678,12.096012,0.758998,1.42026,11.504846,5.364182,3.030181,12.731005,0.627491,21.723567,464.471523,5.446941,5.285589,146.135829,17.429166,7.673009,8.024992,3347.57539,21.506424,4.084363,1494.411711,0.060268,0.109755,3872.147288,87.367181,1.04152
1,0.219204,1.522961,694.40533,34.258672,32.137941,1755.58884,353.83684,1.572401,4.372822,1060.873606,23.682565,2.568893,1.910655,10.013673,8.99232,0.548115,1.004352,8.36796,4.95706,2.142715,11.600437,0.495689,16.492494,329.644196,3.915109,3.738276,115.815523,14.820659,6.663113,6.615004,2402.216249,16.459874,4.069718,1091.619099,0.042694,0.086324,3832.324062,75.13168,0.737136
2,0.198224,1.27426,491.227841,24.41762,22.927965,1248.367806,252.098989,1.250454,3.13217,757.165905,16.848041,1.851931,1.459328,7.198678,6.797679,0.398998,0.71026,6.149846,4.669182,1.515181,10.801005,0.402491,12.793567,234.30688,2.831941,2.64416,94.375829,12.976166,5.949009,5.617992,1733.74639,12.891424,4.059363,806.801711,0.030268,0.069755,3804.164788,66.479874,0.521904
3,0.18893,1.164081,401.216872,20.057872,18.847794,1023.660548,207.027448,1.107826,2.582541,622.6184,13.820235,1.534305,1.259383,5.951589,5.825416,0.332937,0.579973,5.167185,4.541647,1.237173,10.446843,0.361203,11.154881,192.070881,2.35208,2.159449,84.877692,12.159025,5.632649,5.176299,1437.603251,11.310542,4.054775,680.622925,0.024763,0.062415,3791.689767,62.646981,0.426553
4,0.183389,1.098401,347.559661,17.458946,16.415528,889.708373,180.159465,1.022803,2.254896,542.41213,12.015303,1.344962,1.140192,5.208176,5.245833,0.293556,0.502306,4.581403,4.465621,1.071448,10.235721,0.33659,10.17803,166.893217,2.066025,1.870504,79.215676,11.671912,5.444061,4.912998,1261.066819,10.368149,4.052041,605.405405,0.021481,0.058039,3784.253175,60.362123,0.369713
5,0.183389,1.098401,347.559661,17.458946,16.415528,889.708373,180.159465,1.022803,2.254896,542.41213,12.015303,1.344962,1.140192,5.208176,5.245833,0.293556,0.502306,4.581403,4.465621,1.071448,10.235721,0.33659,10.17803,166.893217,2.066025,1.870504,79.215676,11.671912,5.444061,4.912998,1261.066819,10.368149,4.052041,605.405405,0.021481,0.058039,3784.253175,60.362123,0.369713
6,0.172899,0.974051,245.970916,12.53842,11.81054,636.097856,129.290539,0.861829,1.63457,390.55828,8.598041,0.986481,0.914528,3.800678,4.148512,0.218998,0.35526,3.472346,4.321682,0.757681,9.836005,0.289991,8.328567,119.224558,1.524441,1.323446,68.495829,10.749666,5.087009,4.414492,926.83189,8.583924,4.046863,462.996711,0.015268,0.049755,3770.173538,56.03622,0.262097
7,0.165481,0.886122,174.136826,9.059083,8.554322,456.76814,93.320777,0.748003,1.195933,283.181393,6.181672,0.732997,0.75496,2.805427,3.372589,0.166277,0.251283,2.688124,4.219902,0.535814,9.553363,0.257041,7.020798,85.517727,1.141483,0.936618,60.915752,10.097539,4.834535,4.061995,690.492105,7.322286,4.043202,362.298558,0.010875,0.043897,3760.217731,52.977345,0.186001
8,0.165481,0.886122,174.136826,9.059083,8.554322,456.76814,93.320777,0.748003,1.195933,283.181393,6.181672,0.732997,0.75496,2.805427,3.372589,0.166277,0.251283,2.688124,4.219902,0.535814,9.553363,0.257041,7.020798,85.517727,1.141483,0.936618,60.915752,10.097539,4.834535,4.061995,690.492105,7.322286,4.043202,362.298558,0.010875,0.043897,3760.217731,52.977345,0.186001
9,0.160236,0.823946,123.342454,6.59882,6.251828,329.962881,67.886314,0.667517,0.88577,207.254468,4.473041,0.553756,0.642128,2.101678,2.823929,0.128998,0.17776,2.133596,4.147932,0.378931,9.353505,0.233741,6.096067,61.683398,0.870691,0.663089,55.555829,9.636416,4.656009,3.812742,523.37464,6.430174,4.040613,291.094211,0.007768,0.039755,3753.177913,50.814393,0.132193
